ADID |CompanyID|CompanyName|Category |StockNumber|Vin |Status |Year |Make | Model |Trim |KMS |Exterior Color |Mfg Exterior Color | Interior Color | FuelType |Drive |Engine Size |Transmission |Doors |Passenger |Cylinder |Body |Price |HidePrice |Options |AdDescription | FinancingIsAvailable | FinancingPayment |FinancingPaymentType | FinancingNumberOfPayment |FinancingDownPayment | FinancingSource |FinancingType | FinancingOdometer |FinancingDescription |ManufactureProgram |Warranty |WarrantyDescription | MainPhoto |OtherPhoto|ModifiedDate|CreatedDate
25789707|20091008091754086|FUSION AUTO SALES|"Sport Utility"||1FMCU9G92DUA22764|Used|2013|Ford|Escape|SE--AWD--1 OWNER--HEATED SEATS--LOADED|121022| White| | Black| Gas| 4x4| I-4 cyl| 6 Speed Automatic| 4| | | | 17995.0000| 0| |"Fusion Auto Sales is in Tilbury, Ont. located between Windsor and London right off the 401. We are the newest dealer in Tilbury being just over 5 years in business which consist of 7 other dealers but with over 70 years of sales experience. We are proud to announce that in 2012 Fusion Auto Sales was announced 26th out of 50 Fastest Growing Companies in Canada. We specialize in late model vehicles at below than average pricing, everything is fully certified and emission tested and every unit is Car Proof verified and everything is fully disclosed with every unit. We offer every type of financing from perfect credit at great rates to credit challenges with competitive rates. We also specialize in locating vehicles for customers, we can't have everything on the lot so if you do not see it and are having a hard time finding what you are looking for, let us know and we can find it for you. Fusion Auto Sales spans it's customer base from Windsor all the way to Timmins, On and every where in between. Our philosophy is You are going to like the way we deal and everyone does, straight honest answers with no monkey business and no back and forth between sales and managers."| 1| | || | | | |""| |  Not Available| | |""| 11/02/2015 20:55:00| 10/27/2015 15:04:48
25673370|20091008091754086|FUSION AUTO SALES|"Truck"||1GTR2VE77CZ196443|Used|2012|GMC|Sierra 1500|SLE Extended Cab 4x4|115434| White| | Black| Gas| 4x4| V-8 cyl| 4 Speed Automatic| 4| | | | 0.0000| 0| |"UNIT IN TRANSIT    Fusion Auto Sales is in Tilbury, Ont. located between Windsor and London right off the 401. We are the newest dealer in Tilbury being just over 5 years in business which consist of 7 other dealers but with over 70 years of sales experience. We are proud to announce that in 2012 Fusion Auto Sales was announced 26th out of 50 Fastest Growing Companies in Canada. We specialize in late model vehicles at below than average pricing, everything is fully certified and emission tested and every unit is Car Proof verified and everything is fully disclosed with every unit. We offer every type of financing from perfect credit at great rates to credit challenges with competitive rates. We also specialize in locating vehicles for customers, we can't have everything on the lot so if you do not see it and are having a hard time finding what you are looking for, let us know and we can find it for you. Fusion Auto Sales spans it's customer base from Windsor all the way to Timmins, On and every where in between. Our philosophy is You are going to like the way we deal and everyone does, straight honest answers with no monkey business and no back and forth between sales and managers."| 1| | || | | | |""| |  Not Available| | |""| 10/15/2015 19:54:00| 10/15/2015 19:58:53
25357852|20091008091754086|FUSION AUTO SALES|"Car"|9577|WVWMN9AN1BE739577|Used|2011|Volkswagen|CC|Sportline-LEATHER-HEATED SEATS-ALLOYS|158788| Black| | Black| Gas| FWD| I-4 cyl| 6 Speed Automatic with auto-shift| 4| 4| | Sedan| 14888.0000| 0| Air Conditioning, Alloy Wheels, Anti-Lock Brakes (ABS), Anti-Theft, CD Player, Fog Lights, Intermittent Wipers, Keyless Entry, Power Brakes, Power Mirrors, Power Windows, Bucket Seats, Heated Seats, Leather Interior, Power Locks, Traction Control, Cruise Control, All Equipped, Fully Loaded, Split Folding Rear Seats, Satellite Radio, Telescoping Steering Wheel, Premium and/or Oversized Wheels, Analog Gauges, Auto On/Off Headlamps, Cup Holder, Daytime Running Lights, Door Map Pockets, Front Wheel Drive, Map Lights, Reclining Seats, Remote Trunk Release, Tachometer, Trip Computer, Inside Hood Release, Power Adjustable Seat, Trip Odometer|"2.0L Turbo, 4Cyl, Auto, 1 Owner Off Lease, Leatherette, Heated Seats, Pwr Seat, Bluetooth, Upgraded Touch Screen Stereo and Information System, Auto Hold, Traction Control, Alloy Wheels, and more. Lic &amp; HST Extra.    Fusion Auto Sales is in Tilbury, Ont. located between Windsor and London right off the 401. We are the newest dealer in Tilbury being just over 5 years in business which consist of 7 other dealers but with over 70 years of sales experience. We are proud to announce that in 2012 Fusion Auto Sales was announced 26th out of 50 Fastest Growing Companies in Canada. We specialize in late model vehicles at below than average pricing, everything is fully certified and emission tested and every unit is Car Proof verified and everything is fully disclosed with every unit. We offer every type of financing from perfect credit at great rates to credit challenges with competitive rates. We also specialize in locating vehicles for customers, we can't have everything on the lot so if you do not see it and are having a hard time finding what you are looking for, let us know and we can find it for you. Fusion Auto Sales spans it's customer base from Windsor all the way to Timmins, On and every where in between. Our philosophy is You are going to like the way we deal and everyone does, straight honest answers with no monkey business and no back and forth between sales and managers."| 1| | || | | | |"2.0L Turbo, 4Cyl, Auto, 1 Owner Off Lease, Leatherette, Heated Seats, Pwr Seat, Bluetooth, Upgraded Touch Screen Stereo and Information System, Auto Hold, Traction Control, Alloy Wheels, and more. Lic &amp; HST Extra.  Fusion Auto Sales is in Tilbury, Ont."| |  Not Available| | 41f7621b-eb50-41dd-9d43-bd6ac47247c1.jpg|"7006e8e1-2b66-4d61-a8c8-30ad762ae866.jpg, 9ae10f76-e196-49c0-9a74-18e64dd5ad32.jpg, 66588e8c-f819-4cce-9c87-0a08254f0e55.jpg, c7fff4de-b38f-4227-8fcd-1e85ac9b37e4.jpg, 658e0c98-7cf3-494d-80cd-43d68f2f5c32.jpg, 23978b6b-ff3f-4000-abac-42ed40027b81.jpg, 0ede26d5-998d-4d44-a6f0-9cf74f31938f.jpg, 8538cf40-d13c-45ae-8bf3-11a20bc82a31.jpg, 858a7dda-6778-4466-bb3a-eeaf83c2c1f4.jpg, 573e5e35-83eb-4931-81f9-acc71c450738.jpg, 1c82d907-dab3-43d0-a30d-aa465ecffd33.jpg, 9722a669-0e15-40ad-9a06-cec6f92d70e7.jpg, 2d4eb447-00e9-4660-93ad-9c97fbb646d6.jpg, 1edf29f7-48ca-417f-aa40-289dfa52e92a.jpg, f83c382c-f970-43b5-a122-7308f12ec656.jpg, bca255c6-47bf-475b-9de5-9ae2ac5c9552.jpg, 7e1c7fa5-2b54-423f-88bb-53b581f35839.jpg"| 10/21/2015 19:58:00| 09/15/2015 19:40:17
25357704|20091008091754086|FUSION AUTO SALES|"Car"||1FAHP3F22CL159331|Used|2012|Ford|Focus|NOT A RENTAL--SYNC--HEATED SEATS|68215| Black| | Black| Gas| FWD| I-4 cyl| Automatic| 4| 5| | Sedan| 11900.0000| 0| AM/FM Stereo, Air Conditioning, Anti-Lock Brakes (ABS), CD Player, Dual Airbag, Fog Lights, Hubcaps, Keyless Entry, Power Mirrors, Power Steering, Power Windows, Side Impact Airbag, Tilt Steering, Power Locks, Traction Control, Cruise Control, Bluetooth, Telescoping Steering Wheel, Cloth Interior, Cup Holder, Electronic Compass, Console, MP3 CD Player|"54MPG, 4Cyl, Auto, Sync, Fully Loaded, Heated Seats, Cruise Control, Full Information System, Audio Steering Wheel Controls, Tinted Windows and much more. Lic &amp; HST Extra.    Fusion Auto Sales is in Tilbury, Ont. located between Windsor and London right off the 401. We are the newest dealer in Tilbury being just over 5 years in business which consist of 7 other dealers but with over 70 years of sales experience. We are proud to announce that in 2012 Fusion Auto Sales was announced 26th out of 50 Fastest Growing Companies in Canada. We specialize in late model vehicles at below than average pricing, everything is fully certified and emission tested and every unit is Car Proof verified and everything is fully disclosed with every unit. We offer every type of financing from perfect credit at great rates to credit challenges with competitive rates. We also specialize in locating vehicles for customers, we can't have everything on the lot so if you do not see it and are having a hard time finding what you are looking for, let us know and we can find it for you. Fusion Auto Sales spans it's customer base from Windsor all the way to Timmins, On and every where in between. Our philosophy is You are going to like the way we deal and everyone does, straight honest answers with no monkey business and no back and forth between sales and managers."| 1| | || | | | |"54MPG, 4Cyl, Auto, Sync, Fully Loaded, Heated Seats, Cruise Control, Full Information System, Audio Steering Wheel Controls, Tinted Windows and much more. Lic &amp; HST Extra.  Fusion Auto Sales is in Tilbury, Ont. located between Windsor and London right o"| |  Not Available| | d0d21a60-0e55-450e-badd-8549ec53e023.jpg|"38013147-587e-4f0a-b1a6-5eb7ad36f4f8.jpg, 37b5cd05-f594-4311-99f7-99d36c50f83a.jpg, ac34ec04-b071-432d-9f74-4b5dadad73a9.jpg, 319dccd0-1789-41ce-900c-f0b27ff0c7f5.jpg, 622da900-3353-4664-8eb1-84dc2e3a813f.jpg, f2f521e4-769d-478e-a749-8641d8f2cae2.jpg, c363d778-5410-4937-a0da-96db96b2b4df.jpg, 10948c2b-f17d-4412-9108-f972f4b2e848.jpg, c721a000-f38a-4c80-ad83-1afc3569afec.jpg, 68fc86f6-65ba-43b0-a253-2bea1087f958.jpg, cda724a7-a924-44cf-921a-ae808c8b631a.jpg, a197de98-aff5-4215-8b8e-1416eac859d4.jpg, 7593c7d7-09f8-4998-9feb-0de035c9de53.jpg, c8943b77-9528-425f-b240-0426a03fe66d.jpg, 7155f6be-4201-4105-bcf1-e14fe2707676.jpg, cb7aca2c-d139-4d29-b240-319335529a11.jpg, f301fa24-0efb-4193-a605-76086fd2be73.jpg, 2aa6d109-97e5-4235-9260-32d6bd279f23.jpg"| 10/20/2015 19:41:00| 09/15/2015 19:33:18
25357860|20091008091754086|FUSION AUTO SALES|"Sport Utility"|9704|3D4PH6FG1BT539704|Used|2011|Dodge|Journey|R/T-7PASS-NAVIGATION-LEATHER-REMOTE START|157367| Dark Blue| | Black| Gas| AWD| V-6 cyl| Automatic| 4| 7| | | 15888.0000| 0| Air Conditioning, Alloy Wheels, Anti-Lock Brakes (ABS), Anti-Theft, CD Player, Dual Airbag, Fog Lights, Intermittent Wipers, Keyless Entry, Power Mirrors, Power Steering, Power Windows, Remote Start, Tilt Steering, Cruise Control, Bucket Seats, Heated Seats, Power Locks, Traction Control, Rear Air &amp;amp; Heat, Fully Loaded, Backup Sensor, Split Folding Rear Seats, Dual Climate Control, Satellite Radio, Telescoping Steering Wheel, Premium Audio, Premium and/or Oversized Wheels, Analog Gauges, Auto On/Off Headlamps, Auxiliary 12v Outlet, Center Arm Rest, Cup Holder, Illuminated Visor Mirror, Map Lights, Reclining Seats, Tachometer, Trip Computer, All Wheel Drive, Inside Hood Release, Power Adjustable Seat, Trip Odometer|"1 Owner Off Lease, 3.6LV6, Auto, AWD, Leather, 7 Passenger Third Row Seating, Navigation, Back up Camera, Heated Seats, Remote Start, Sat Radio, Bluetooth, and much more. Lic &amp; HST Extra.    Fusion Auto Sales is in Tilbury, Ont. located between Windsor and London right off the 401. We are the newest dealer in Tilbury being just over 5 years in business which consist of 7 other dealers but with over 70 years of sales experience. We are proud to announce that in 2012 Fusion Auto Sales was announced 26th out of 50 Fastest Growing Companies in Canada. We specialize in late model vehicles at below than average pricing, everything is fully certified and emission tested and every unit is Car Proof verified and everything is fully disclosed with every unit. We offer every type of financing from perfect credit at great rates to credit challenges with competitive rates. We also specialize in locating vehicles for customers, we can't have everything on the lot so if you do not see it and are having a hard time finding what you are looking for, let us know and we can find it for you. Fusion Auto Sales spans it's customer base from Windsor all the way to Timmins, On and every where in between. Our philosophy is You are going to like the way we deal and everyone does, straight honest answers with no monkey business and no back and forth between sales and managers."| 1| | || | | | |"1 Owner Off Lease, 3.6LV6, Auto, AWD, Leather, 7 Passenger Third Row Seating, Navigation, Back up Camera, Heated Seats, Remote Start, Sat Radio, Bluetooth, and much more. Lic &amp; HST Extra.  Fusion Auto Sales is in Tilbury, Ont. located between Windsor an"| |  Not Available| | f77f9550-22b1-4e55-b5b5-1fad15b339b2.jpg|"4fb306e0-64ce-4f08-9cf9-a9c9c291bd55.jpg, 93bd2542-6467-4840-971e-7e7cbe1ec0fe.jpg, b4fcbb9b-759f-48a1-aaf8-7f45a6a1b7aa.jpg, d2276c47-9c45-49fb-99ab-0ce03bd7c9c2.jpg, 3a27361d-5c6e-4b02-a3d0-115f7839484c.jpg, 038815ed-3e95-4730-baf6-4709625da393.jpg, e4166a38-85d5-48f7-b8a3-fb092f7721fe.jpg, cbcc309e-f100-423f-a9e5-099c8cba861e.jpg, 722327f6-17a3-43a1-8b3f-498be762787e.jpg, cdf02c20-ece6-4814-80d1-f16fcf31d102.jpg, a8423661-6ec7-4f0e-9b17-0c099e6d8ebb.jpg, 3b9fcfed-efd1-43ec-8c55-c45c365fe101.jpg, 8f4a64a9-eb29-42ea-b5e0-baba9f49aee7.jpg, dd1da4da-bd79-4b37-bd69-519850fe5bc5.jpg, adee10cd-949d-4f75-812f-898debd9387a.jpg, f2b05b7c-5d6d-4ab3-8813-11d63b4afd53.jpg, 0b151d1c-2935-4da6-b303-872e236badd2.jpg, 4cd81b27-6e13-421c-a2de-6f4ef6da9da6.jpg"| 10/06/2015 15:25:00| 09/15/2015 19:40:23
25778955|20091008091754086|FUSION AUTO SALES|"Minivan/Passenger Van"||2C4RC1BGXDR785086|Used|2013|Chrysler|Town &amp; Country|Touring--BACK UP CAMERA--PWR SLIDING DOORS AND PWR|129434| Red| | Black| Gas| FWD| V-6 cyl| | 4| | | | 17995.0000| 0| |"Fusion Auto Sales is in Tilbury, Ont. located between Windsor and London right off the 401. We are the newest dealer in Tilbury being just over 5 years in business which consist of 7 other dealers but with over 70 years of sales experience. We are proud to announce that in 2012 Fusion Auto Sales was announced 26th out of 50 Fastest Growing Companies in Canada. We specialize in late model vehicles at below than average pricing, everything is fully certified and emission tested and every unit is Car Proof verified and everything is fully disclosed with every unit. We offer every type of financing from perfect credit at great rates to credit challenges with competitive rates. We also specialize in locating vehicles for customers, we can't have everything on the lot so if you do not see it and are having a hard time finding what you are looking for, let us know and we can find it for you. Fusion Auto Sales spans it's customer base from Windsor all the way to Timmins, On and every where in between. Our philosophy is You are going to like the way we deal and everyone does, straight honest answers with no monkey business and no back and forth between sales and managers."| 1| | || | | | |""| |  Not Available| | |""| 11/02/2015 20:48:00| 10/26/2015 15:51:44
25792381|20091008091754086|FUSION AUTO SALES|"Sport Utility"||3C4PDCCG9CT178381|Used|2012|Dodge|Journey|SXT-3.6LV6--1 OWNER-LOADED-ALLOYS|107022| White| | Black| Gas| FWD| V-6 cyl| 4 Speed Automatic| 4| | | | 14800.0000| 0| |"Fusion Auto Sales is in Tilbury, Ont. located between Windsor and London right off the 401. We are the newest dealer in Tilbury being just over 5 years in business which consist of 7 other dealers but with over 70 years of sales experience. We are proud to announce that in 2012 Fusion Auto Sales was announced 26th out of 50 Fastest Growing Companies in Canada. We specialize in late model vehicles at below than average pricing, everything is fully certified and emission tested and every unit is Car Proof verified and everything is fully disclosed with every unit. We offer every type of financing from perfect credit at great rates to credit challenges with competitive rates. We also specialize in locating vehicles for customers, we can't have everything on the lot so if you do not see it and are having a hard time finding what you are looking for, let us know and we can find it for you. Fusion Auto Sales spans it's customer base from Windsor all the way to Timmins, On and every where in between. Our philosophy is You are going to like the way we deal and everyone does, straight honest answers with no monkey business and no back and forth between sales and managers."| 1| | || | | | |""| |  Not Available| | |""| 11/02/2015 20:55:00| 10/27/2015 19:56:01
25357843|20091008091754086|FUSION AUTO SALES|"Car"|8960|TRUUD28N161008960|Used|2006|Audi|TT|3.2L ROADSTER-QUATTRO-S-LINE|115483| Silver| | Black| Gas| AWD| V-6 cyl| 6 Speed Automatic with auto-shift| 2| 2| | Convertible| 18888.0000| 0| Air Conditioning, Alloy Wheels, Anti-Lock Brakes (ABS), CD Player, Dual Airbag, Fog Lights, Intermittent Wipers, Keyless Entry, Power Mirrors, Power Steering, Power Windows, Side Impact Airbag, Tilt Steering, Bucket Seats, Heated Seats, Leather Interior, Power Locks, Traction Control, Cruise Control, Fully Loaded, Dual Climate Control, Telescoping Steering Wheel, Premium and/or Oversized Wheels, Bose Sound System, Cup Holder, Leather Wrap Wheel, Map Lights, Trip Computer, All Wheel Drive, Console, Inside Hood Release, Trip Odometer|"Auto, 3.2L, S-Line Package, Bose Premium Sound, Pwr Top, Alloy Wheels, Rear Spoiler, Fully Loaded, Heated Seats, All Power Options and much more. Lic &amp; HST Extra.    Fusion Auto Sales is in Tilbury, Ont. located between Windsor and London right off the 401. We are the newest dealer in Tilbury being just over 5 years in business which consist of 7 other dealers but with over 70 years of sales experience. We are proud to announce that in 2012 Fusion Auto Sales was announced 26th out of 50 Fastest Growing Companies in Canada. We specialize in late model vehicles at below than average pricing, everything is fully certified and emission tested and every unit is Car Proof verified and everything is fully disclosed with every unit. We offer every type of financing from perfect credit at great rates to credit challenges with competitive rates. We also specialize in locating vehicles for customers, we can't have everything on the lot so if you do not see it and are having a hard time finding what you are looking for, let us know and we can find it for you. Fusion Auto Sales spans it's customer base from Windsor all the way to Timmins, On and every where in between. Our philosophy is You are going to like the way we deal and everyone does, straight honest answers with no monkey business and no back and forth between sales and managers."| 1| | || | | | |"Auto, 3.2L, S-Line Package, Bose Premium Sound, Pwr Top, Alloy Wheels, Rear Spoiler, Fully Loaded, Heated Seats, All Power Options and much more. Lic &amp; HST Extra.  Fusion Auto Sales is in Tilbury, Ont. located between Windsor and London right off the 40"| |  Not Available| | 2becc86c-773b-4f5a-832f-8fb526881b49.jpg|"dc5c690e-4623-424e-812c-127418ba8780.jpg, 06d34053-c7ae-4da4-98a5-3d86a2a780d3.jpg, ac777435-e130-4531-a373-9a92210b9997.jpg, 6a26b8d4-8202-4958-9029-66020d43fefe.jpg, 48321fad-1bab-4096-a5de-130d230fcd7c.jpg, a1e460e9-3c7f-429c-93cd-0ce02874d99a.jpg, 19c8729c-9a8f-4177-ace2-bc9f7257c036.jpg, 2e747a99-587f-43b2-b63b-fd3eb0af3d12.jpg, 30564e31-8b8a-4885-b073-8fffcd285784.jpg, 7865100e-eab0-41dc-a70c-35b320cae023.jpg, e29fde37-08f7-4419-8330-0b88ff6d9c3d.jpg, 975d9cce-3b5d-45f4-bc93-c029876f426a.jpg, 19b07a05-668d-400b-84b0-4e589241ee33.jpg, 41d70a49-0b34-49d2-8303-8647190eddd1.jpg, a81439b8-c198-48f1-bbb6-6a37190170f8.jpg"| 10/06/2015 15:39:00| 09/15/2015 19:39:56
25730704|20091008091754086|FUSION AUTO SALES|"Sport Utility"|8588|1FMCU941X6KA48588|Used|2006|Ford|Escape|Limited--4X4--LEATHER--PWR SUNROOF|171215| Light Green| Green| Beige| Gas| 4x4| V-6 cyl| 4 Speed Automatic| 4| 5| 6| | 7995.0000| 0| Alloy Wheels, Anti-Lock Brakes (ABS), CD Player, Keyless Entry, Power Brakes, Power Mirrors, Power Seat, Power Steering, Power Windows, Tilt Steering, Power Sunroof, Cruise Control, All Equipped, Bucket Seats, Heated Seats, Power Locks, Traction Control, Fully Loaded, Backup Sensor, Split Folding Rear Seats, Center Arm Rest, Child-Safety Locks, Cup Holder, Daytime Running Lights, Map Lights, Reclining Seats, Tachometer, Trip Computer, All Wheel Drive, Inside Hood Release, Trip Odometer|"3.0LV6, 4X4, Auto, Loaded, Leather, Pwr Sunroof, Alloy wheels, Heated Seats, Pwr Seat, Nice and Clean, Mature Trade In. Lic &amp; HST Extra.    Fusion Auto Sales is in Tilbury, Ont. located between Windsor and London right off the 401. We are the newest dealer in Tilbury being just over 5 years in business which consist of 7 other dealers but with over 70 years of sales experience. We are proud to announce that in 2012 Fusion Auto Sales was announced 26th out of 50 Fastest Growing Companies in Canada. We specialize in late model vehicles at below than average pricing, everything is fully certified and emission tested and every unit is Car Proof verified and everything is fully disclosed with every unit. We offer every type of financing from perfect credit at great rates to credit challenges with competitive rates. We also specialize in locating vehicles for customers, we can't have everything on the lot so if you do not see it and are having a hard time finding what you are looking for, let us know and we can find it for you. Fusion Auto Sales spans it's customer base from Windsor all the way to Timmins, On and every where in between. Our philosophy is You are going to like the way we deal and everyone does, straight honest answers with no monkey business and no back and forth between sales and managers."| 1| | || | | | |""| |  Not Available| | 6e50515c-da92-4e18-b77a-212a954a13d8.jpg|"8fafe90b-28cf-4b2e-a0c8-617ef5d49760.jpg, 6e28b857-8d33-479f-ab02-ec3b4b0d3d85.jpg, e68722e9-307f-4c47-baae-8ea1fcc5ae55.jpg, d8bb7af7-8550-4661-ae21-cec28e2dc76a.jpg, 91c61f23-ea65-45e5-96ee-a2cc90b486dd.jpg, bc83f3bf-59ba-492e-96a2-2f44ecd9e202.jpg, 1c66cc6b-9c97-433a-9a5b-e7e98db9960f.jpg, ea3b4756-e725-445f-a092-c9e35ecd0cd3.jpg, 41aaba67-a316-45cf-87b6-399b34ecbbc4.jpg, e1b39505-1761-49c7-9167-79f26714aa15.jpg, b1882b6f-6eb6-4acb-9bb2-88e562f50f73.jpg, 012a87db-2d55-4ce7-b5a3-610f56683071.jpg, da0ca837-46d4-4852-883f-853d617daa5b.jpg, c703553c-c8bb-42ff-a434-718eadc509dc.jpg, 6b03d688-2efa-4f4c-ada3-6058de6faa1c.jpg, 7e3be326-61d0-4f88-94d2-7e2ea675ccf5.jpg, 4dbd490e-b00f-4422-beb4-e1e0f873c052.jpg"| 10/30/2015 17:12:03| 10/21/2015 19:52:36
25357842|20091008091754086|FUSION AUTO SALES|"Sport Utility"|8938|JM3ER293680178938|Used|2008|Mazda|CX-7|GS-AWD--PWR.SUNROOF-ALLOY WHEELS|106776| Silver| | Black| Gas| AWD| I-4 cyl| 6 Speed Automatic| 4| 5| | | 10995.0000| 0| Air Conditioning, Alloy Wheels, Anti-Lock Brakes (ABS), Anti-Theft, CD Player, Intermittent Wipers, Keyless Entry, Power Brakes, Power Steering, Tilt Steering, Power Sunroof, Cruise Control, All Equipped, Bucket Seats, Power Locks, Traction Control, Fully Loaded, Split Folding Rear Seats, Premium and/or Oversized Wheels, Cloth Interior, Analog Gauges, Auxiliary 12v Outlet, Child-Safety Locks, Cup Holder, Daytime Running Lights, Illuminated Visor Mirror, Map Lights, Power-Assist Disc Brakes, Reclining Seats, Tachometer, Trip Computer, All Wheel Drive, Inside Hood Release, Trip Odometer|"4Cyl, Auto, AWD (All Wheel Drive), Pwr Sunroof, Alloy Wheels, Fully Equipped, Info System, and more. Lic &amp; HST Extra.    Fusion Auto Sales is in Tilbury, Ont. located between Windsor and London right off the 401. We are the newest dealer in Tilbury being just over 5 years in business which consist of 7 other dealers but with over 70 years of sales experience. We are proud to announce that in 2012 Fusion Auto Sales was announced 26th out of 50 Fastest Growing Companies in Canada. We specialize in late model vehicles at below than average pricing, everything is fully certified and emission tested and every unit is Car Proof verified and everything is fully disclosed with every unit. We offer every type of financing from perfect credit at great rates to credit challenges with competitive rates. We also specialize in locating vehicles for customers, we can't have everything on the lot so if you do not see it and are having a hard time finding what you are looking for, let us know and we can find it for you. Fusion Auto Sales spans it's customer base from Windsor all the way to Timmins, On and every where in between. Our philosophy is You are going to like the way we deal and everyone does, straight honest answers with no monkey business and no back and forth between sales and managers."| 1| | || | | | |"4Cyl, Auto, AWD (All Wheel Drive), Pwr Sunroof, Alloy Wheels, Fully Equipped, Info System, and more. Lic &amp; HST Extra.  Fusion Auto Sales is in Tilbury, Ont. located between Windsor and London right off the 401. We are the newest dealer in Tilbury being"| |  Not Available| | d8688b03-8895-4c17-a3bf-6c5eb9b43c7b.jpg|"5990793f-e112-4543-9c8c-d0e53c25aca2.jpg, e189e22c-d4af-491e-9a97-d2286e36968f.jpg, 07abd260-84e1-4d85-95a4-7779573e1e42.jpg, a3375251-ce0b-4a0c-ad72-8b55e6a62237.jpg, ec9e6034-efff-4a4d-b882-0d89bb407467.jpg, 2dc3ce76-776a-4716-a75d-cde16c197929.jpg, db00f482-a03e-4a3c-81ea-d6ff5036fa8f.jpg, ffdf535b-96d5-4551-8f69-9a0fc0b254b5.jpg, 2863ec04-1d7d-4a55-b0b1-4e630d6a5fb4.jpg, 791b5b3b-3c5f-4c07-8fd8-b3b0ee81dc71.jpg, 9731bdc3-abcc-4030-a92e-df28e6b8536d.jpg, a94a7d42-f47e-48d5-9294-9478161758c5.jpg, f9175496-55fb-4c4d-9495-d9916bb3a7d9.jpg, 050f998e-6b17-4a42-b3c3-a3c56777d767.jpg, becba84f-288d-4fa1-b4f7-9157ba21d6a7.jpg"| 10/28/2015 15:32:00| 09/15/2015 19:39:50
